Year,Week,Team Name,Player Name,Pro Team,FPTS,Position,Position2,Position3,FTA,PTS,3PM,BLK,STL,AST,REB,TO,FGM,FGA,FTM
2024,1,The Bronx Orthodox Church,D'Angelo Russell,LAL,90,PG,SG,,-10,42,4,4,12,42,11,-12,30,-41,8
2024,1,The Bronx Orthodox Church,Naz Reid,MIN,12,PF,C,,-4,10,0,0,0,2,4,-2,6,-8,4
2024,1,The Bronx Orthodox Church,Anfernee Simons,POR,36,PG,SG,,-4,18,2,0,8,8,2,0,12,-14,4
2024,1,The Bronx Orthodox Church,Kristaps Porzingis,BOS,100,PF,C,,-14,47,7,20,12,2,17,-4,28,-27,12
2024,1,The Bronx Orthodox Church,Russell Westbrook,LAC,98,PG,,,-3,34,4,8,8,40,22,-20,30,-25,0
2024,1,The Bronx Orthodox Church,Kyle Kuzma,WAS,73,SF,PF,,-9,46,2,8,4,4,15,0,36,-41,8
2024,1,The Bronx Orthodox Church,Bennedict Mathurin,IND,50,SG,SF,,-7,31,3,0,8,12,4,-4,22,-25,6
2024,1,The Bronx Orthodox Church,Malcolm Brogdon,POR,86,PG,SG,,-9,56,7,0,4,22,14,-10,42,-47,7
2024,1,The Bronx Orthodox Church,Anthony Davis,LAL,172,PF,C,,-22,77,3,32,20,16,36,-8,54,-56,20
2024,1,The Bronx Orthodox Church,Bruce Brown,TOR,16,SG,SF,,0,6,0,0,4,4,4,0,6,-8,0
2024,1,The Bronx Orthodox Church,Brook Lopez,MIL,40,C,,,-1,26,5,0,4,2,5,-4,20,-18,1
2024,1,The Bronx Orthodox Church,Michael Porter Jr.,DEN,99,SF,,,-1,41,8,0,8,14,34,-4,32,-34,1
2024,1,The Bronx Orthodox Church,Kevin Huerter,SAC,50,SG,SF,,-2,19,4,12,0,16,14,-2,14,-26,1
2024,1,The Bronx Orthodox Church,Jrue Holiday,BOS,69,PG,SG,,-2,26,2,16,0,18,14,-6,22,-23,2
2024,1,The Bronx Orthodox Church,Lauri Markkanen,UTA,126,SF,PF,,-12,73,12,8,12,8,25,-10,50,-51,11
2024,1,I Watch Basketbal,Ben Simmons,BKN,80,PG,PF,,0,14,0,12,8,34,20,-8,14,-14,0
2024,1,I Watch Basketbal,Ausar Thompson,DET,57,SG,SF,,-6,15,0,8,4,22,25,-10,10,-16,5
2024,1,I Watch Basketbal,Brandon Ingram,NOP,69,SF,PF,,-10,45,1,0,12,18,14,-20,36,-35,8
2024,1,I Watch Basketbal,Brandon Miller,CHA,51,SG,SF,,-4,30,5,4,4,8,9,-8,22,-22,3
2024,1,I Watch Basketbal,Buddy Hield,PHL,56,SG,SF,,0,24,6,8,4,18,3,-4,18,-21,0
2024,1,I Watch Basketbal,Luka Doncic,DAL,154,PG,,,-17,82,12,0,8,34,23,-8,58,-50,12
2024,1,I Watch Basketbal,Stephen Curry,GSW,150,PG,,,-19,92,17,4,12,22,16,-14,56,-55,19
2024,1,I Watch Basketbal,Terry Rozier,MIA,52,PG,SG,,-16,44,2,0,4,14,8,-10,30,-36,12
2024,1,I Watch Basketbal,LeBron James,LAL,143,SF,PF,,-15,69,5,8,12,44,31,-26,56,-49,8
2024,1,I Watch Basketbal,Ivica Zubac,LAC,90,C,,,-13,42,0,28,0,0,22,-8,34,-23,8
2024,1,I Watch Basketbal,Khris Middleton,MIL,20,SF,,,-2,6,1,0,8,8,3,-4,4,-5,1
2024,1,I Watch Basketbal,Harrison Barnes,SAC,90,SF,PF,,-12,51,6,4,8,10,10,-2,36,-30,9
2024,1,I Watch Basketbal,Wendell Carter Jr.,ORL,32,C,,,-4,16,1,0,8,4,17,-8,12,-17,3
2024,1,I Watch Basketbal,Jabari Smith Jr.,HOU,67,PF,C,,-6,34,4,0,16,12,22,-8,28,-37,2
2024,1,New Jersey Eren,Alperen Sengun,HOU,123,C,,,-14,58,2,4,8,40,27,-14,48,-44,8
2024,1,New Jersey Eren,Darius Garland,CLE,24,PG,,,-2,15,1,0,8,10,2,-12,12,-12,2
2024,1,New Jersey Eren,Shaedon Sharpe,POR,88,SG,SF,,-8,58,7,0,12,14,16,-12,44,-50,7
2024,1,New Jersey Eren,Jalen Brunson,NYK,99,PG,SG,,-9,60,12,0,12,32,10,-10,42,-56,6
2024,1,New Jersey Eren,Xavier Tillman,BOS,55,PF,C,,-4,21,3,8,12,10,15,-12,16,-16,2
2024,1,New Jersey Eren,Cam Thomas,BKN,55,SG,,,-5,30,1,4,4,4,7,0,24,-19,5
2024,1,New Jersey Eren,Desmond Bane,MEM,118,SG,SF,,-13,72,10,8,20,26,10,-18,50,-59,12
2024,1,New Jersey Eren,Jerami Grant,POR,56,PF,,,-18,45,2,12,8,10,12,-16,28,-42,15
2024,1,New Jersey Eren,Fred VanVleet,HOU,92,PG,,,-5,46,8,0,12,42,9,-12,34,-46,4
2024,1,New Jersey Eren,Zach LaVine,CHI,78,SG,SF,,-16,75,9,4,4,8,13,-22,52,-63,14
2024,1,New Jersey Eren,Joel Embiid,PHL,195,C,,,-26,93,6,36,12,42,31,-22,70,-64,17
2024,1,New Jersey Eren,De'Anthony Melton,PHL,74,PG,SG,,-5,24,3,4,20,32,9,-8,16,-26,5
2024,1,New Jersey Eren,Dennis Schroder,BKN,106,PG,,,-7,47,10,0,8,54,9,-10,32,-42,5
2024,1,New Jersey Eren,Rudy Gobert,MIN,83,C,,,-5,29,0,16,12,4,27,-8,26,-21,3
2024,1,New Jersey Eren,Giannis Antetokounmpo,MIL,87,PF,C,,-19,49,0,16,12,12,23,-20,38,-35,11
2024,1,Who Invited This Kid?,Amen Thompson,HOU,35,SG,,,-6,21,2,4,4,10,10,-10,16,-19,3
2024,1,Who Invited This Kid?,Franz Wagner,ORL,60,SG,SF,PF,-15,42,6,4,8,10,9,-12,22,-28,14
2024,1,Who Invited This Kid?,Tre Jones,SAS,44,PG,,,-2,11,1,0,12,24,8,-8,8,-12,2
2024,1,Who Invited This Kid?,Tyus Jones,WAS,78,PG,,,-1,30,6,4,12,26,5,-4,24,-24,0
2024,1,Who Invited This Kid?,RJ Barrett,TOR,93,SG,SF,,-17,68,6,4,8,20,9,-16,48,-51,14
2024,1,Who Invited This Kid?,Immanuel Quickley,TOR,28,PG,SG,,-4,21,1,0,4,14,7,-12,16,-23,4
2024,1,Who Invited This Kid?,Obi Toppin,IND,31,PF,,,-1,15,2,4,4,2,8,-2,12,-14,1
2024,1,Who Invited This Kid?,LaMelo Ball,CHA,77,PG,SG,,-16,35,6,4,12,38,15,-14,16,-32,13
2024,1,Who Invited This Kid?,Domantas Sabonis,SAC,146,PF,C,,-16,53,2,8,20,34,45,-14,40,-37,11
2024,1,Who Invited This Kid?,Keyonte George,UTA,29,PG,SG,,-2,12,2,0,4,12,7,-4,8,-12,2
2024,1,Who Invited This Kid?,Pascal Siakam,IND,77,PF,C,,-11,44,6,4,4,24,22,-14,30,-40,8
2024,1,Who Invited This Kid?,Andrew Wiggins,GSW,39,SF,PF,,-10,34,1,12,0,6,6,-8,26,-35,7
2024,1,Who Invited This Kid?,Anthony Edwards,MIN,64,SG,SF,,-8,45,7,0,0,16,16,-8,30,-42,8
2024,1,Who Invited This Kid?,Jonathan Kuminga,GSW,35,PF,,,-9,21,1,4,12,4,8,-10,14,-16,6
2024,1,Who Invited This Kid?,Paolo Banchero,ORL,52,SF,PF,,-16,26,0,0,12,18,12,-8,16,-18,10
2024,1,Pooh Shaisty,Jarace Walker,IND,3,PF,,,0,0,0,0,4,0,4,0,0,-5,0
2024,1,Pooh Shaisty,Kevin Durant,PHO,124,SF,PF,,-27,83,3,12,8,24,26,-24,58,-61,22
2024,1,Pooh Shaisty,Tobias Harris,PHL,112,SF,PF,,-16,59,6,16,12,12,14,-14,40,-30,13
2024,1,Pooh Shaisty,Keldon Johnson,SAS,77,SF,,,-7,42,5,4,4,24,18,-12,32,-38,5
2024,1,Pooh Shaisty,Jaren Jackson Jr.,MEM,110,PF,C,,-12,45,4,36,4,14,19,-8,30,-33,11
2024,1,Pooh Shaisty,Klay Thompson,GSW,86,SG,SF,,-2,52,10,8,4,14,14,-14,40,-42,2
2024,1,Pooh Shaisty,Kelly Oubre Jr.,PHL,97,SF,PF,,-15,57,5,4,24,4,12,-8,38,-38,14
2024,1,Pooh Shaisty,Jordan Clarkson,UTA,61,SG,,,-12,44,5,0,4,28,10,-18,30,-39,9
2024,1,Pooh Shaisty,Jonas Valanciunas,NOP,34,C,,,-4,20,2,4,4,2,16,-14,14,-14,4
2024,1,Pooh Shaisty,Trae Young,ATL,102,PG,,,-34,61,6,0,20,64,7,-28,26,-49,29
2024,1,Pooh Shaisty,Deandre Ayton,POR,91,C,,,-1,25,0,8,20,8,36,-10,24,-20,1
2024,1,Pooh Shaisty,Nic Claxton,BKN,30,PF,C,,-1,7,0,12,0,8,7,0,6,-10,1
2024,1,Pooh Shaisty,Saddiq Bey,ATL,25,SF,PF,,-5,13,1,0,0,6,9,-2,8,-9,4
2024,1,Pooh Shaisty,Shai Gilgeous-Alexander,OKC,163,PG,SG,,-11,72,4,12,28,42,20,-12,58,-60,10
2024,1,Pooh Shaisty,Chris Paul,GSW,103,PG,,,-9,32,0,0,24,56,13,-10,24,-35,8
2024,1,Pooh Shaisty,Kyle Anderson,MIN,58,SF,PF,,-4,19,0,0,16,18,11,-6,16,-15,3
2024,1,Paulie Gee's,Onyeka Okongwu,ATL,62,C,,,-5,27,0,4,8,10,13,-4,22,-18,5
2024,1,Paulie Gee's,Zach Collins,SAS,11,PF,C,,0,9,1,0,0,8,6,-10,8,-11,0
2024,1,Paulie Gee's,DeMar DeRozan,CHI,130,SG,SF,,-24,73,2,16,24,18,11,-6,54,-55,17
2024,1,Paulie Gee's,Julius Randle,NYK,81,PF,,,-15,41,6,0,8,40,35,-22,26,-47,9
2024,1,Paulie Gee's,Devin Booker,PHO,54,PG,SG,SF,-3,32,3,0,4,16,6,-12,26,-21,3
2024,1,Paulie Gee's,Dereck Lively II,DAL,55,C,,,-5,25,0,8,4,2,12,-4,22,-12,3
2024,1,Paulie Gee's,Zion Williamson,NOP,67,PF,,,-9,47,0,0,0,10,12,-6,42,-34,5
2024,1,Paulie Gee's,Kawhi Leonard,LAC,131,SF,PF,,-10,69,12,4,20,30,17,-16,50,-52,7
2024,1,Paulie Gee's,Jalen Duren,DET,160,C,,,-8,54,0,32,8,24,46,-20,48,-30,6
2024,1,Paulie Gee's,Scoot Henderson,POR,20,PG,,,-1,22,1,4,4,18,7,-26,20,-30,1
2024,1,Paulie Gee's,Josh Hart,NYK,38,SG,SF,,-2,14,3,0,8,4,19,-6,10,-13,1
2024,1,Paulie Gee's,Tyrese Maxey,PHL,167,PG,SG,,-23,91,14,4,8,38,20,-6,56,-56,21
2024,1,Paulie Gee's,Gradey Dick,TOR,24,SG,,,-2,16,4,0,0,2,2,-2,10,-8,2
2024,1,Paulie Gee's,P.J. Washington,DAL,29,PF,,,-1,13,1,4,8,6,3,-4,12,-13,0
2024,1,Paulie Gee's,Jalen Green,HOU,61,SG,,,-12,53,3,8,4,10,15,-20,40,-50,10
2024,1,Keegan It Real,Nikola Jokic,DEN,164,C,,,-13,79,5,8,8,46,39,-30,64,-52,10
2024,1,Keegan It Real,Jaden Ivey,DET,14,PG,SG,,0,7,1,0,4,6,0,-4,6,-6,0
2024,1,Keegan It Real,Josh Giddey,CHI,51,PG,SG,SF,0,27,3,0,4,30,14,-16,24,-35,0
2024,1,Keegan It Real,Chet Holmgren,OKC,114,PF,C,,-11,46,6,28,8,10,21,-6,32,-28,8
2024,1,Keegan It Real,Karl-Anthony Towns,MIN,62,PF,C,,-3,31,3,16,4,10,20,-10,26,-37,2
2024,1,Keegan It Real,Scottie Barnes,TOR,156,SF,PF,,-10,63,4,36,8,40,26,-24,52,-46,7
2024,1,Keegan It Real,Devin Vassell,SAS,88,SG,SF,,-17,62,5,0,12,10,9,-10,44,-40,13
2024,1,Keegan It Real,De'Aaron Fox,SAC,154,PG,,,-21,94,9,8,16,36,13,-16,68,-70,17
2024,1,Keegan It Real,Victor Wembanyama,SAS,89,PF,C,,-15,47,3,20,24,10,22,-28,34,-38,10
2024,1,Keegan It Real,Keegan Murray,SAC,83,SF,PF,,-4,32,7,12,12,12,16,-2,22,-27,3
2024,1,Keegan It Real,Jamal Murray,DEN,109,PG,,,-6,62,8,8,0,38,5,-16,48,-44,6
2024,1,Keegan It Real,Mikal Bridges,BKN,63,SG,SF,,-12,38,3,0,12,14,10,-8,24,-29,11
2024,1,Keegan It Real,Jeremy Sochan,SAS,8,PG,PF,,0,0,0,4,4,6,4,-8,0,-2,0
2024,1,Keegan It Real,Evan Mobley,CLE,121,PF,C,,-16,57,1,28,0,14,35,-8,44,-46,12
2024,1,Team Chigga,Tyrese Haliburton,IND,110,PG,SG,,-3,41,6,8,4,48,11,-8,32,-32,3
2024,1,Team Chigga,OG Anunoby,NYK,71,SF,,,-3,31,5,12,16,2,9,-6,24,-21,2
2024,1,Team Chigga,Aaron Gordon,DEN,107,PF,,,-4,34,1,20,24,20,12,-4,32,-29,1
2024,1,Team Chigga,Jusuf Nurkic,PHO,92,C,,,-11,28,1,8,20,24,30,-14,18,-21,9
2024,1,Team Chigga,Nikola Vucevic,CHI,74,C,,,-5,34,2,12,12,12,25,-16,28,-34,4
2024,1,Team Chigga,Jayson Tatum,BOS,100,SF,PF,,-9,56,6,4,12,18,19,-12,44,-44,6
2024,1,Team Chigga,Markelle Fultz,ORL,20,PG,SG,,0,8,0,0,0,12,2,-2,8,-8,0
2024,1,Team Chigga,Royce O'Neale,PHO,13,SF,,,0,5,1,0,0,4,7,-2,4,-6,0
2024,1,Team Chigga,Kelly Olynyk,TOR,44,PF,C,,-2,14,0,0,4,14,12,-4,12,-8,2
2024,1,Team Chigga,Paul George,LAC,149,SG,SF,PF,-17,82,9,0,32,24,11,-14,56,-51,17
2024,1,Team Chigga,Mike Conley,MIN,63,PG,,,-2,25,3,4,8,16,8,-2,20,-19,2
2024,1,Team Chigga,Marcus Smart,MEM,111,PG,SG,,-9,46,6,8,36,28,6,-18,34,-32,6
2024,1,Team Chigga,Kentavious Caldwell-Pope,DEN,92,SG,SF,,-4,35,5,8,40,6,7,-8,26,-27,4
2024,1,Team Chigga,Derrick White,BOS,93,PG,SG,,-10,40,6,16,12,10,12,-6,26,-21,8
