Team,Player,Projected,Actual,Difference
Keegan It Real,Nikola Jokic,4263,4943,680
Keegan It Real,Keegan Murray,2487,2347,-140
Keegan It Real,Josh Giddey,2791,2335,-456
Keegan It Real,Chet Holmgren,2360,3244,884
Keegan It Real,Jamal Murray,2654,2474,-180
Keegan It Real,Mikal Bridges,3470,2687,-783
Keegan It Real,Karl-Anthony Towns,2714,2330,-384
Keegan It Real,De'Aaron Fox,2928,3472,544
Keegan It Real,Evan Mobley,2774,1922,-852
Keegan It Real,Devin Vassell,1883,2372,489
Keegan It Real,Scottie Barnes,2873,2733,-140
Keegan It Real,Victor Wembanyama,2880,3642,762
Keegan It Real,Naz Reid,1981,2138,157
Keegan It Real,Santi Aldama,1213,1531,318
Keegan It Real,Kelly Olynyk,1747,2064,317
Keegan It Real,Tre Jones,2345,2185,-160
Keegan It Real,Jalen Suggs,1542,2003,461
New Jersey Eren,Alperen Sengun,2738,2705,-33
New Jersey Eren,Fred VanVleet,2433,3137,704
New Jersey Eren,Zach LaVine,2767,831,-1936
New Jersey Eren,Darius Garland,2790,1910,-880
New Jersey Eren,Joel Embiid,3590,2419,-1171
New Jersey Eren,Jalen Brunson,3023,3555,532
New Jersey Eren,Desmond Bane,2669,1738,-931
New Jersey Eren,Giannis Antetokounmpo,3781,4250,469
New Jersey Eren,Dennis Schroder,1786,2336,550
New Jersey Eren,Cam Thomas,1400,2034,634
New Jersey Eren,Bennedict Mathurin,1837,1299,-538
New Jersey Eren,Pascal Siakam,2923,3126,203
New Jersey Eren,Tyus Jones,2851,2247,-604
New Jersey Eren,Ben Simmons,1776,416,-1360
New Jersey Eren,Jusuf Nurkic,2087,2503,416
Team Chigga,Tyrese Haliburton,3299,3484,185
Team Chigga,OG Anunoby,2162,1474,-688
Team Chigga,Mike Conley,2053,2314,261
Team Chigga,Paul George,2384,3021,637
Team Chigga,Aaron Gordon,2019,2224,205
Team Chigga,Jayson Tatum,3841,3476,-365
Team Chigga,Nikola Vucevic,3131,2909,-222
Team Chigga,Derrick White,2109,2707,598
Team Chigga,Bogdan Bogdanovic,1641,2432,791
Team Chigga,Donte DiVincenzo,1578,2475,897
Team Chigga,Rui Hachimura,1421,1665,244
Team Chigga,Trey Murphy III,1354,1688,334
Team Chigga,Brandon Clarke,1652,158,-1494
Who Invited This Kid?,LaMelo Ball,3008,1000,-2008
Who Invited This Kid?,Domantas Sabonis,3255,4113,858
Who Invited This Kid?,Franz Wagner,2520,2487,-33
Who Invited This Kid?,Andrew Wiggins,2234,1626,-608
Who Invited This Kid?,Anthony Edwards,3485,3364,-121
Who Invited This Kid?,Paolo Banchero,2879,3036,157
Who Invited This Kid?,Immanuel Quickley,1910,2132,222
Who Invited This Kid?,Amen Thompson,1835,1602,-233
Who Invited This Kid?,Collin Sexton,1926,2469,543
Who Invited This Kid?,Onyeka Okongwu,2103,1419,-684
Who Invited This Kid?,Jordan Poole,3204,2273,-931
Who Invited This Kid?,Jonathan Kuminga,1510,2016,506
Who Invited This Kid?,Jaden Ivey,2144,1962,-182
