Year,Week,Type,Team Name,Home/Away,Points For,Points Against,Win,Loss,Opponent Team Name
2021,1,Regular,Monjizl Wanker Lads,Home,1101,829,1,0,Back to Back Spasms
2021,2,Regular,Monjizl Wanker Lads,Away,947,1585,0,1,Who Invited This Kid?
2021,3,Regular,Monjizl Wanker Lads,Home,1396,1390,1,0,Michigan Wolversemen
2021,4,Regular,Monjizl Wanker Lads,Away,1321,1004,1,0,Team nunu man 
2021,5,Regular,Monjizl Wanker Lads,Away,1241,942,1,0,Fuck Kevin Garnett
2021,6,Regular,Monjizl Wanker Lads,Away,1195,1423,0,1,New Jersey Eren
2021,7,Regular,Monjizl Wanker Lads,Home,1407,1251,1,0,Killian SkyWalker
2021,8,Regular,Monjizl Wanker Lads,Away,1177,1526,0,1,🧂🧂🧂 Ishouldbe9-1
2021,9,Regular,Monjizl Wanker Lads,Home,1173,1193,0,1,Ben’s Sons
2021,10,Regular,Monjizl Wanker Lads,Away,1377,1379,0,1,Back to Back Spasms
2021,11,Regular,Monjizl Wanker Lads,Home,1449,2116,0,1,Who Invited This Kid?
2021,12,Regular,Monjizl Wanker Lads,Away,1438,1507,0,1,Michigan Wolversemen
2021,13,Regular,Monjizl Wanker Lads,Home,1171,1556,0,1,Team nunu man 
2021,14,Regular,Monjizl Wanker Lads,Home,1086,1089,0,1,Fuck Kevin Garnett
2021,15,Regular,Monjizl Wanker Lads,Home,1226,1130,1,0,New Jersey Eren
2021,16,Regular,Monjizl Wanker Lads,Away,1391,1004,1,0,Killian SkyWalker
2021,17,Playoffs,Monjizl Wanker Lads,Home,2023,2986,0,1,Michigan Wolversemen
2021,18,Playoffs,Monjizl Wanker Lads,Home,1683,1068,1,0,Fuck Kevin Garnett
2021,1,Regular,New Jersey Eren,Home,993,782,1,0,Ben’s Sons
2021,2,Regular,New Jersey Eren,Away,1239,1092,1,0,Back to Back Spasms
2021,3,Regular,New Jersey Eren,Home,1549,1520,1,0,Who Invited This Kid?
2021,4,Regular,New Jersey Eren,Away,1242,1024,1,0,Michigan Wolversemen
2021,5,Regular,New Jersey Eren,Home,1284,1305,0,1,Team nunu man 
2021,6,Regular,New Jersey Eren,Home,1423,1195,1,0,Monjizl Wanker Lads
2021,7,Regular,New Jersey Eren,Away,1611,1065,1,0,Fuck Kevin Garnett
2021,8,Regular,New Jersey Eren,Away,1457,1098,1,0,Killian SkyWalker
2021,9,Regular,New Jersey Eren,Home,865,1591,0,1,🧂🧂🧂 Ishouldbe9-1
2021,10,Regular,New Jersey Eren,Away,1413,995,1,0,Ben’s Sons
2021,11,Regular,New Jersey Eren,Home,1607,1389,1,0,Back to Back Spasms
2021,12,Regular,New Jersey Eren,Away,1403,1579,0,1,Who Invited This Kid?
2021,13,Regular,New Jersey Eren,Home,1303,1186,1,0,Michigan Wolversemen
2021,14,Regular,New Jersey Eren,Away,1297,1427,0,1,Team nunu man 
2021,15,Regular,New Jersey Eren,Away,1130,1226,0,1,Monjizl Wanker Lads
2021,16,Regular,New Jersey Eren,Home,1131,960,1,0,Fuck Kevin Garnett
2021,17,Playoffs,New Jersey Eren,Away,2724,3193,0,1,Team nunu man 
2021,18,Playoffs,New Jersey Eren,Away,2452,2477,0,1,Who Invited This Kid?
2021,1,Regular,Back to Back Spasms,Away,829,1101,0,1,Monjizl Wanker Lads
2021,2,Regular,Back to Back Spasms,Home,1092,1239,0,1,New Jersey Eren
2021,3,Regular,Back to Back Spasms,Home,1599,1224,1,0,Killian SkyWalker
2021,4,Regular,Back to Back Spasms,Away,1246,1235,1,0,🧂🧂🧂 Ishouldbe9-1
2021,5,Regular,Back to Back Spasms,Home,1373,1283,1,0,Ben’s Sons
2021,6,Regular,Back to Back Spasms,Away,1392,1143,1,0,Fuck Kevin Garnett
