Year,Week,Type,Team Name,Team ID,Owner,Home/Away,Points For,Points Against,Win,Loss,Opponent Team Name,Opponent Team ID,Opponent Owner
2021,1,Regular,Monjizl Wanker Lads,1,Frank,Home,1101.0,829.0,1,0,Back to Back Spasms,4,Paul
2021,2,Regular,Monjizl Wanker Lads,1,Frank,Away,947.0,1585.0,0,1,Who Invited This Kid?,7,Jooahn
2021,3,Regular,Monjizl Wanker Lads,1,Frank,Home,1396.0,1390.0,1,0,Michigan Wolversemen,12,Semanto
2021,4,Regular,Monjizl Wanker Lads,1,Frank,Away,1321.0,1004.0,1,0,Team nunu man ,6,Tahmeed
2021,5,Regular,Monjizl Wanker Lads,1,Frank,Away,1241.0,942.0,1,0,Fuck Kevin Garnett,5,Shayan
2021,6,Regular,Monjizl Wanker Lads,1,Frank,Away,1195.0,1423.0,0,1,New Jersey Eren,2,Eren
2021,7,Regular,Monjizl Wanker Lads,1,Frank,Home,1407.0,1251.0,1,0,Killian SkyWalker,8,Jonathan
2021,8,Regular,Monjizl Wanker Lads,1,Frank,Away,1177.0,1526.0,0,1,🧂🧂🧂 Ishouldbe9-1,11,Ibteda
2021,9,Regular,Monjizl Wanker Lads,1,Frank,Home,1173.0,1193.0,0,1,Ben’s Sons,10,Benson
2021,10,Regular,Monjizl Wanker Lads,1,Frank,Away,1377.0,1379.0,0,1,Back to Back Spasms,4,Paul
2021,11,Regular,Monjizl Wanker Lads,1,Frank,Home,1449.0,2116.0,0,1,Who Invited This Kid?,7,Jooahn
2021,12,Regular,Monjizl Wanker Lads,1,Frank,Away,1438.0,1507.0,0,1,Michigan Wolversemen,12,Semanto
2021,13,Regular,Monjizl Wanker Lads,1,Frank,Home,1171.0,1556.0,0,1,Team nunu man ,6,Tahmeed
2021,14,Regular,Monjizl Wanker Lads,1,Frank,Home,1086.0,1089.0,0,1,Fuck Kevin Garnett,5,Shayan
2021,15,Regular,Monjizl Wanker Lads,1,Frank,Home,1226.0,1130.0,1,0,New Jersey Eren,2,Eren
2021,16,Regular,Monjizl Wanker Lads,1,Frank,Away,1391.0,1004.0,1,0,Killian SkyWalker,8,Jonathan
2021,17,Playoffs,Monjizl Wanker Lads,1,Frank,Home,2023.0,2986.0,0,1,Michigan Wolversemen,12,Semanto
2021,18,Playoffs,Monjizl Wanker Lads,1,Frank,Home,1683.0,1068.0,1,0,Fuck Kevin Garnett,5,Shayan
