Year,Date,Time,Team Name,Action,Asset
2023,10/20/2022,21:31,Paulie Gee's,TRADED,Mikal Bridges
2023,10/20/2022,21:31,Paulie Gee's,TRADED,Jordan Poole
2023,10/20/2022,21:31,The Bronx Orthodox Church,TRADED,Dejounte Murray
2023,02/02/2023,14:30,The Bronx Orthodox Church,TRADED,Mikal Bridges
2023,02/02/2023,14:30,The Bronx Orthodox Church,TRADED,Nikola Jokic
2023,02/02/2023,14:30,Keegan It Real,TRADED,Jrue Holiday
2023,02/02/2023,14:30,Keegan It Real,TRADED,Kristaps Porzingis
2023,02/02/2023,14:30,Keegan It Real,TRADED,Bennedict Mathurin
2023,02/02/2023,14:30,Keegan It Real,TRADED,Anfernee Simons
2023,01/10/2023,01:00,Keegan It Real,TRADED,Wendell Carter Jr.
2023,01/10/2023,01:00,Keegan It Real,TRADED,Ben Simmons
2023,01/10/2023,01:00,I Watch Basketbal,TRADED,Scottie Barnes
2023,11/29/2022,14:36,I Watch Basketbal,TRADED,Zach LaVine
2023,11/29/2022,14:36,I Watch Basketbal,TRADED,Franz Wagner
2023,11/29/2022,14:36,Who Invited This Kid?,TRADED,Buddy Hield
2023,11/29/2022,14:36,Who Invited This Kid?,TRADED,LeBron James
2023,02/14/2023,15:46,Who Invited This Kid?,TRADED,Zach LaVine
2023,02/14/2023,15:46,Who Invited This Kid?,TRADED,De'Anthony Melton
2023,02/14/2023,15:46,New Jersey Eren,TRADED,RJ Barrett
2023,02/14/2023,15:46,New Jersey Eren,TRADED,Andrew Wiggins
2023,11/03/2022,15:08,New Jersey Eren,TRADED,Saddiq Bey
2023,11/03/2022,15:08,New Jersey Eren,TRADED,Michael Porter Jr.
2023,11/03/2022,15:08,New Jersey Eren,TRADED,Anthony Davis
2023,11/03/2022,15:08,New Jersey Eren,TRADED,Russell Westbrook
2023,11/03/2022,15:08,The Bronx Orthodox Church,TRADED,Joel Embiid
2023,11/03/2022,15:08,The Bronx Orthodox Church,TRADED,Kevin Porter Jr.
2023,11/03/2022,15:08,The Bronx Orthodox Church,TRADED,Jalen McDaniels
2023,11/03/2022,15:08,The Bronx Orthodox Church,TRADED,Jerami Grant
2023,03/19/2023,21:36,New Jersey Eren,TRADED,Miles Bridges
2023,03/19/2023,21:36,New Jersey Eren,TRADED,Bradley Beal
2023,03/19/2023,21:36,NY L-Eat Gang,TRADED,Jalen Brunson
2023,01/27/2023,22:23,New Jersey Eren,TRADED,Keldon Johnson
2023,01/27/2023,22:23,New Jersey Eren,TRADED,Chris Paul
2023,01/27/2023,22:23,Pooh Shaisty,TRADED,Rudy Gobert
2023,11/04/2022,11:23,New Jersey Eren,TRADED,Jalen Suggs
2023,11/04/2022,11:23,The Bronx Orthodox Church,TRADED,Collin Sexton
2023,11/29/2022,14:32,New Jersey Eren,TRADED,Collin Sexton
2023,11/29/2022,14:32,NY L-Eat Gang,TRADED,Jonas Valanciunas
2023,11/29/2022,14:32,NY L-Eat Gang,TRADED,Keldon Johnson
2023,11/03/2022,23:44,Paulie Gee's,TRADED,Mike Conley
2023,11/03/2022,23:44,Team Chigga,TRADED,Julius Randle
2023,11/03/2022,17:03,Paulie Gee's,TRADED,Domantas Sabonis
2023,11/03/2022,17:03,Paulie Gee's,TRADED,Anthony Edwards
2023,11/03/2022,17:03,Who Invited This Kid?,TRADED,Lauri Markkanen
2023,11/03/2022,17:03,Who Invited This Kid?,TRADED,Kyrie Irving
2023,11/03/2022,17:03,Who Invited This Kid?,TRADED,Luguentz Dort
2023,12/13/2022,20:34,The Bronx Orthodox Church,TRADED,Tim Hardaway Jr.
2023,12/13/2022,20:34,Fordham Rams,TRADED,Kevin Huerter
2023,06/10/2023,12:36,Paulie Gee's,TRADED,Lauri Markkanen
2023,06/10/2023,12:36,The Bronx Orthodox Church,TRADED,DeMar DeRozan
2023,11/09/2022,23:13,New Jersey Eren,TRADED,Ayo Dosunmu
2023,11/09/2022,23:13,I Watch Basketbal,TRADED,RJ Barrett
2023,11/02/2022,12:42,Paulie Gee's,TRADED,Tre Jones
2023,11/02/2022,12:42,Paulie Gee's,TRADED,Spencer Dinwiddie
2023,11/02/2022,12:42,Fordham Rams,TRADED,Jalen Green
2023,03/28/2023,12:42,Fordham Rams,TRADED,DeMar DeRozan
2023,03/28/2023,12:42,The Bronx Orthodox Church,TRADED,Donovan Mitchell
2023,03/28/2023,12:42,The Bronx Orthodox Church,TRADED,Jordan Poole
2023,01/20/2023,00:55,Fordham Rams,TRADED,Kyrie Irving
2023,01/20/2023,00:55,Paulie Gee's,TRADED,Dejounte Murray
2023,11/03/2022,17:09,Fordham Rams,TRADED,Devin Booker
2023,11/03/2022,17:09,Paulie Gee's,TRADED,Kyrie Irving
2023,05/26/2023,17:09,Paulie Gee's,TRADED,Clint Capela
2023,05/26/2023,17:09,Paulie Gee's,TRADED,Kyrie Irving
2023,05/26/2023,17:09,NY L-Eat Gang,TRADED,Kawhi Leonard
2023,03/09/2023,21:32,Paulie Gee's,TRADED,Bobby Portis
2023,03/09/2023,21:32,Paulie Gee's,TRADED,Lonzo Ball
2023,03/09/2023,21:32,NY L-Eat Gang,TRADED,Josh Hart
2023,11/11/2022,15:01,Paulie Gee's,TRADED,John Collins
2023,11/11/2022,15:01,NY L-Eat Gang,TRADED,Bobby Portis
2025,11/15/2024,19:04,Keegan It Real,TRADED,'26 First Round Pick
2025,10/28/2024,18:23,Paulie Gee's,TRADED,'26 First Round Pick
2024,06/14/2024,21:55,Paulie Gee's,TRADED,'25 Third Round Pick
2024,06/14/2024,21:55,For All the bullDawgs,TRADED,'25 Second Round Pick
