Year,Week,Team Name,Team ID,Player Name,Player ID,FPTS,Position,Position2,Position3,FTA,PTS,3PM,BLK,STL,AST,REB,TO,FGM,FGA,FTM
2023,1,The Bronx Orthodox Church,13,Nikola Jokic,3112335,170.0,C,,,-22.0,72.0,3.0,4.0,16.0,58.0,32.0,-22.0,50.0,-40.0,19.0
2023,1,The Bronx Orthodox Church,13,Davion Mitchell,4278053,7.0,PG,,,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,2.0,-8.0,0.0
2023,1,The Bronx Orthodox Church,13,Jordan Poole,4277956,59.0,SG,,,-13.0,31.0,3.0,0.0,16.0,22.0,1.0,-10.0,18.0,-19.0,10.0
2023,1,The Bronx Orthodox Church,13,D'Angelo Russell,3136776,96.0,PG,,,-11.0,49.0,5.0,8.0,16.0,30.0,13.0,-20.0,34.0,-38.0,10.0
2023,1,The Bronx Orthodox Church,13,Collin Sexton,4277811,57.0,SG,,,-20.0,39.0,2.0,0.0,8.0,14.0,13.0,-8.0,20.0,-28.0,17.0
2023,1,The Bronx Orthodox Church,13,Dejounte Murray,3907497,69.0,PG,,,-3.0,20.0,1.0,4.0,20.0,22.0,5.0,0.0,16.0,-19.0,3.0
2023,1,The Bronx Orthodox Church,13,Donovan Mitchell,3908809,167.0,SG,,,-24.0,100.0,11.0,4.0,24.0,42.0,16.0,-26.0,68.0,-69.0,21.0
2023,1,The Bronx Orthodox Church,13,Jerami Grant,2991070,76.0,SF,,,-21.0,47.0,6.0,8.0,8.0,8.0,14.0,-6.0,26.0,-29.0,15.0
2023,1,The Bronx Orthodox Church,13,Kyle Kuzma,3134907,104.0,PF,,,-16.0,59.0,8.0,16.0,0.0,14.0,21.0,-6.0,40.0,-43.0,11.0
2023,1,The Bronx Orthodox Church,13,Kevin Porter Jr.,4397140,104.0,SG,,,-11.0,57.0,9.0,0.0,16.0,36.0,17.0,-18.0,40.0,-50.0,8.0
2023,1,The Bronx Orthodox Church,13,Joel Embiid,3059318,129.0,C,,,-27.0,81.0,2.0,16.0,4.0,22.0,40.0,-24.0,58.0,-64.0,21.0
2023,1,The Bronx Orthodox Church,13,Mikal Bridges,3147657,50.0,SG,SF,,-2.0,20.0,1.0,4.0,4.0,20.0,11.0,-8.0,18.0,-19.0,1.0
2023,1,The Bronx Orthodox Church,13,Kendrick Nunn,3056247,23.0,SG,,,0.0,13.0,3.0,4.0,4.0,8.0,5.0,-8.0,10.0,-16.0,0.0
2023,1,The Bronx Orthodox Church,13,Marcus Smart,2990992,57.0,SG,,,-9.0,28.0,2.0,0.0,8.0,36.0,10.0,-16.0,18.0,-28.0,8.0
2023,1,The Bronx Orthodox Church,13,Derrick White,3078576,93.0,PG,,,-8.0,39.0,7.0,12.0,8.0,18.0,14.0,-4.0,26.0,-25.0,6.0
2023,1,I Watch Basketbal,17,Brandon Ingram,3913176,113.0,SF,,,-22.0,66.0,4.0,4.0,16.0,24.0,17.0,-20.0,44.0,-38.0,18.0
2023,1,I Watch Basketbal,17,Jarrett Allen,4066328,91.0,C,,,-8.0,36.0,0.0,20.0,0.0,10.0,30.0,-6.0,30.0,-27.0,6.0
2023,1,I Watch Basketbal,17,Luka Doncic,3945274,124.0,PG,,,-18.0,67.0,6.0,8.0,12.0,32.0,16.0,-14.0,44.0,-46.0,17.0
2023,1,I Watch Basketbal,17,Franz Wagner,4566434,84.0,SG,SF,PF,-2.0,46.0,4.0,0.0,20.0,20.0,17.0,-18.0,40.0,-45.0,2.0
2023,1,I Watch Basketbal,17,Stephen Curry,3975,160.0,PG,,,-22.0,100.0,16.0,4.0,20.0,26.0,16.0,-18.0,62.0,-66.0,22.0
2023,1,I Watch Basketbal,17,Shaedon Sharpe,4914336,32.0,SG,,,-2.0,16.0,3.0,4.0,4.0,4.0,8.0,-4.0,12.0,-14.0,1.0
2023,1,I Watch Basketbal,17,RJ Barrett,4395625,40.0,SG,SF,,-8.0,29.0,0.0,4.0,0.0,14.0,11.0,-6.0,22.0,-33.0,7.0
2023,1,I Watch Basketbal,17,Tari Eason,4433192,66.0,SF,,,-1.0,25.0,4.0,16.0,4.0,4.0,16.0,-2.0,20.0,-21.0,1.0
2023,1,I Watch Basketbal,17,James Wiseman,4432808,59.0,C,,,-13.0,33.0,0.0,4.0,0.0,8.0,18.0,-6.0,26.0,-18.0,7.0
