ESPN Player ID,Full Name,First Name,Last Name,Headshot URL,Height Inches,Weight Pounds,Birth Date,Birth City,Birth State Region,Birth Country,NBA Position Name,NBA Position Abbreviation,Jersey Number,ESPN NBA Team ID,NBA Team Name,Team Relationship,Draft Year,Draft Round,Draft Pick,Debut Year,NBA Experience Years,Active,Status,Profile Source,Profile Fetched At
1966,LeBron James,LeBron,James,https://a.espncdn.com/i/headshots/nba/players/full/1966.png,81.0,250.0,1984-12-30,Akron,OH,USA,Forward,F,23,20,Philadelphia 76ers,current,2003.0,1.0,1.0,2003.0,23.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2779,Chris Paul,Chris,Paul,https://a.espncdn.com/i/headshots/nba/players/full/2779.png,72.0,175.0,1985-05-06,Winston-Salem,NC,USA,Guard,G,,28,Toronto Raptors,last-known,2005.0,1.0,4.0,2005.0,20.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3012,Kyle Lowry,Kyle,Lowry,https://a.espncdn.com/i/headshots/nba/players/full/3012.png,72.0,196.0,1986-03-25,Philadelphia,PA,USA,Guard,G,7,20,Philadelphia 76ers,last-known,2006.0,1.0,24.0,2006.0,19.0,False,inactive,espn-core-athlete,2026-09-21T01:15:56Z
3195,Mike Conley,Mike,Conley,https://a.espncdn.com/i/headshots/nba/players/full/3195.png,73.0,175.0,1987-10-11,Indianapolis,IN,USA,Guard,G,45,2,Boston Celtics,current,2007.0,1.0,4.0,2007.0,19.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3202,Kevin Durant,Kevin,Durant,https://a.espncdn.com/i/headshots/nba/players/full/3202.png,83.0,240.0,1988-09-29,Suitland,MD,USA,Forward,F,7,10,Houston Rockets,current,2007.0,1.0,2.0,2007.0,19.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3213,Al Horford,Al,Horford,https://a.espncdn.com/i/headshots/nba/players/full/3213.png,80.0,240.0,1986-06-03,Puerto Plata,,Dominican Republic,Center,C,20,9,Golden State Warriors,current,2007.0,1.0,3.0,2007.0,19.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3244,Thaddeus Young,Thaddeus,Young,https://a.espncdn.com/i/headshots/nba/players/full/3244.png,80.0,225.0,1988-06-21,New Orleans,LA,USA,Forward,F,30,21,Phoenix Suns,last-known,2007.0,1.0,12.0,2007.0,16.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3431,Eric Gordon,Eric,Gordon,https://a.espncdn.com/i/headshots/nba/players/full/3431.png,75.0,215.0,1988-12-25,Indianapolis,IN,USA,Guard,G,,29,Memphis Grizzlies,last-known,2008.0,1.0,7.0,2008.0,17.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3448,Brook Lopez,Brook,Lopez,https://a.espncdn.com/i/headshots/nba/players/full/3448.png,85.0,282.0,1988-04-01,North Hollywood,CA,USA,Center,C,11,12,LA Clippers,current,2008.0,1.0,10.0,2008.0,18.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3449,Kevin Love,Kevin,Love,https://a.espncdn.com/i/headshots/nba/players/full/3449.png,82.0,251.0,1988-09-07,Santa Monica,CA,USA,Forward,F,42,26,Utah Jazz,last-known,2008.0,1.0,5.0,2008.0,18.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3468,Russell Westbrook,Russell,Westbrook,https://a.espncdn.com/i/headshots/nba/players/full/3468.png,76.0,200.0,1988-11-12,Long Beach,CA,USA,Guard,G,18,23,Sacramento Kings,last-known,2008.0,1.0,4.0,2008.0,18.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3593,Bojan Bogdanovic,Bojan,Bogdanovic,https://a.espncdn.com/i/headshots/nba/players/full/3593.png,79.0,226.0,1989-04-18,,,Yugoslavia,Small Forward,SF,44,17,Brooklyn Nets,last-known,2011.0,2.0,31.0,2014.0,10.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3975,Stephen Curry,Stephen,Curry,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,74.0,185.0,1988-03-14,Akron,OH,USA,Guard,G,30,9,Golden State Warriors,current,2009.0,1.0,7.0,2009.0,17.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3978,DeMar DeRozan,DeMar,DeRozan,https://a.espncdn.com/i/headshots/nba/players/full/3978.png,78.0,220.0,1989-08-07,Compton,CA,USA,Guard,G,,7,Denver Nuggets,current,2009.0,1.0,9.0,2009.0,16.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3989,Blake Griffin,Blake,Griffin,https://a.espncdn.com/i/headshots/nba/players/full/3989.png,81.0,250.0,1989-03-16,Oklahoma City,OK,USA,Power Forward,PF,91,2,Boston Celtics,last-known,2009.0,1.0,1.0,2010.0,12.0,False,inactive,espn-core-athlete,2026-09-21T01:15:56Z
3992,James Harden,James,Harden,https://a.espncdn.com/i/headshots/nba/players/full/3992.png,77.0,220.0,1989-08-26,Los Angeles,CA,USA,Guard,G,1,5,Cleveland Cavaliers,current,2009.0,1.0,3.0,2009.0,17.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3995,Jrue Holiday,Jrue,Holiday,https://a.espncdn.com/i/headshots/nba/players/full/3995.png,76.0,220.0,1990-06-12,Chatsworth,CA,USA,Guard,G,5,22,Portland Trail Blazers,current,2009.0,1.0,17.0,2009.0,17.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
4237,John Wall,John,Wall,https://a.espncdn.com/i/headshots/nba/players/full/4237.png,75.0,210.0,1990-09-06,Raleigh,NC,USA,Point Guard,PG,11,10,Houston Rockets,last-known,2010.0,1.0,1.0,2010.0,10.0,False,inactive,espn-core-athlete,2026-09-21T01:15:56Z
4249,Gordon Hayward,Gordon,Hayward,https://a.espncdn.com/i/headshots/nba/players/full/4249.png,79.0,225.0,1990-03-23,Brownsburg,IN,USA,Small Forward,SF,33,25,Oklahoma City Thunder,last-known,2010.0,1.0,9.0,2010.0,13.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
4251,Paul George,Paul,George,https://a.espncdn.com/i/headshots/nba/players/full/4251.png,80.0,220.0,1990-05-02,Palmdale,CA,USA,Forward,F,13,2,Boston Celtics,current,2010.0,1.0,10.0,2010.0,16.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6427,Bismack Biyombo,Bismack,Biyombo,https://a.espncdn.com/i/headshots/nba/players/full/6427.png,80.0,255.0,1992-08-28,Lubumbashi,,Congo,Center,C,18,24,San Antonio Spurs,last-known,2011.0,1.0,7.0,2011.0,15.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
6429,Alec Burks,Alec,Burks,https://a.espncdn.com/i/headshots/nba/players/full/6429.png,77.0,214.0,1991-07-20,Grandview,MO,USA,Shooting Guard,SG,18,14,Miami Heat,last-known,2011.0,1.0,12.0,2011.0,13.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
6430,Jimmy Butler III,Jimmy,Butler III,https://a.espncdn.com/i/headshots/nba/players/full/6430.png,78.0,230.0,1989-09-14,Houston,TX,USA,Forward,F,10,9,Golden State Warriors,current,2011.0,1.0,30.0,2011.0,15.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6440,Tobias Harris,Tobias,Harris,https://a.espncdn.com/i/headshots/nba/players/full/6440.png,80.0,226.0,1992-07-15,Dix Hills,NY,USA,Forward,F,,24,San Antonio Spurs,current,2011.0,1.0,19.0,2011.0,15.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6442,Kyrie Irving,Kyrie,Irving,https://a.espncdn.com/i/headshots/nba/players/full/6442.png,74.0,195.0,1992-03-23,Melbourne,VIC,Australia,Guard,G,11,6,Dallas Mavericks,current,2011.0,1.0,1.0,2011.0,14.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6443,Reggie Jackson,Reggie,Jackson,https://a.espncdn.com/i/headshots/nba/players/full/6443.png,74.0,208.0,1990-04-16,Pordenone,,Italy,Point Guard,PG,,27,Washington Wizards,last-known,2011.0,1.0,24.0,2011.0,13.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
6450,Kawhi Leonard,Kawhi,Leonard,https://a.espncdn.com/i/headshots/nba/players/full/6450.png,78.0,225.0,1991-06-29,Los Angeles,CA,USA,Forward,F,2,28,Toronto Raptors,current,2011.0,1.0,15.0,2011.0,15.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6462,Marcus Morris Sr.,Marcus,Morris Sr.,https://a.espncdn.com/i/headshots/nba/players/full/6462.png,80.0,218.0,1989-09-02,Philadelphia,PA,USA,Forward,F,13,18,New York Knicks,last-known,2011.0,1.0,14.0,2011.0,13.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
6475,Klay Thompson,Klay,Thompson,https://a.espncdn.com/i/headshots/nba/players/full/6475.png,77.0,220.0,1990-02-08,Los Angeles,CA,USA,Guard,G,,14,Miami Heat,current,2011.0,1.0,11.0,2011.0,15.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6477,Jonas Valanciunas,Jonas,Valanciunas,https://a.espncdn.com/i/headshots/nba/players/full/6477.png,83.0,265.0,1992-05-06,Utena,,Lithuania,Center,C,17,7,Denver Nuggets,last-known,2011.0,1.0,5.0,2012.0,13.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
6478,Nikola Vucevic,Nikola,Vucevic,https://a.espncdn.com/i/headshots/nba/players/full/6478.png,81.0,260.0,1990-10-24,Simi Valley,CA,USA,Center,C,9,19,Orlando Magic,current,2011.0,1.0,16.0,2011.0,15.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6578,Harrison Barnes,Harrison,Barnes,https://a.espncdn.com/i/headshots/nba/players/full/6578.png,79.0,225.0,1992-05-30,Ames,IA,USA,Forward,F,40,24,San Antonio Spurs,current,2012.0,1.0,7.0,2012.0,14.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6580,Bradley Beal,Bradley,Beal,https://a.espncdn.com/i/headshots/nba/players/full/6580.png,76.0,207.0,1993-06-28,Saint Louis,MO,USA,Guard,G,3,12,LA Clippers,current,2012.0,1.0,3.0,2012.0,14.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6583,Anthony Davis,Anthony,Davis,https://a.espncdn.com/i/headshots/nba/players/full/6583.png,82.0,253.0,1993-03-11,Chicago,IL,USA,Forward,F,23,27,Washington Wizards,current,2012.0,1.0,1.0,2012.0,14.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6585,Andre Drummond,Andre,Drummond,https://a.espncdn.com/i/headshots/nba/players/full/6585.png,83.0,279.0,1993-08-10,Mount Vernon,NY,USA,Center,C,,18,New York Knicks,current,2012.0,1.0,9.0,2012.0,14.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6589,Draymond Green,Draymond,Green,https://a.espncdn.com/i/headshots/nba/players/full/6589.png,78.0,230.0,1990-03-04,Saginaw,MI,USA,Forward,F,23,9,Golden State Warriors,current,2012.0,2.0,35.0,2012.0,14.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6606,Damian Lillard,Damian,Lillard,https://a.espncdn.com/i/headshots/nba/players/full/6606.png,74.0,200.0,1990-07-15,Oakland,CA,USA,Guard,G,0,22,Portland Trail Blazers,current,2012.0,1.0,6.0,2012.0,13.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
6609,Khris Middleton,Khris,Middleton,https://a.espncdn.com/i/headshots/nba/players/full/6609.png,79.0,222.0,1991-08-12,Charleston,SC,USA,Forward,F,22,27,Washington Wizards,current,2012.0,2.0,39.0,2012.0,14.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2326307,Seth Curry,Seth,Curry,https://a.espncdn.com/i/headshots/nba/players/full/2326307.png,73.0,185.0,1990-08-23,Charlotte,NC,USA,Guard,G,31,9,Golden State Warriors,last-known,,,,2013.0,13.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
2488653,Mason Plumlee,Mason,Plumlee,https://a.espncdn.com/i/headshots/nba/players/full/2488653.png,84.0,254.0,1990-03-05,Fort Wayne,IN,USA,Center,C,45,24,San Antonio Spurs,last-known,2013.0,1.0,22.0,2013.0,13.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
2489663,Kelly Olynyk,Kelly,Olynyk,https://a.espncdn.com/i/headshots/nba/players/full/2489663.png,84.0,240.0,1991-04-19,Toronto,ON,Canada,Forward,F,8,24,San Antonio Spurs,last-known,2013.0,1.0,13.0,2013.0,13.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
2490149,CJ McCollum,CJ,McCollum,https://a.espncdn.com/i/headshots/nba/players/full/2490149.png,75.0,190.0,1991-09-19,Canton,OH,USA,Guard,G,3,1,Atlanta Hawks,current,2013.0,1.0,10.0,2013.0,13.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2527963,Victor Oladipo,Victor,Oladipo,https://a.espncdn.com/i/headshots/nba/players/full/2527963.png,75.0,213.0,1992-05-04,Silver Spring,MD,USA,Shooting Guard,SG,52,111136,Guangzhou Loong-Lions,last-known,2013.0,1.0,2.0,2013.0,10.0,False,inactive,espn-core-athlete,2026-09-21T01:15:56Z
2528210,Tim Hardaway Jr.,Tim,Hardaway Jr.,https://a.espncdn.com/i/headshots/nba/players/full/2528210.png,77.0,205.0,1992-03-16,Alameda,CA,USA,Guard,G,10,14,Miami Heat,current,2013.0,1.0,24.0,2013.0,13.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2528426,Jordan Clarkson,Jordan,Clarkson,https://a.espncdn.com/i/headshots/nba/players/full/2528426.png,77.0,194.0,1992-06-07,San Antonio,TX,USA,Guard,G,00,18,New York Knicks,current,2014.0,2.0,46.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2530530,T.J. McConnell,T.J.,McConnell,https://a.espncdn.com/i/headshots/nba/players/full/2530530.png,73.0,190.0,1992-03-25,Pittsburgh,PA,USA,Guard,G,9,11,Indiana Pacers,current,,,,2015.0,11.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2566769,Malcolm Brogdon,Malcolm,Brogdon,https://a.espncdn.com/i/headshots/nba/players/full/2566769.png,76.0,229.0,1992-12-11,Atlanta,GA,USA,Guard,G,5,18,New York Knicks,last-known,2016.0,2.0,36.0,2016.0,9.0,False,inactive,espn-core-athlete,2026-09-21T01:15:56Z
2578185,Dorian Finney-Smith,Dorian,Finney-Smith,https://a.espncdn.com/i/headshots/nba/players/full/2578185.png,79.0,220.0,1993-05-04,Portsmouth,VA,USA,Forward,F,,30,Charlotte Hornets,current,,,,2016.0,10.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2578239,Pat Connaughton,Pat,Connaughton,https://a.espncdn.com/i/headshots/nba/players/full/2578239.png,77.0,209.0,1993-01-06,Arlington,MA,USA,Guard,G,21,30,Charlotte Hornets,current,2015.0,2.0,41.0,2015.0,11.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2580365,Larry Nance Jr.,Larry,Nance Jr.,https://a.espncdn.com/i/headshots/nba/players/full/2580365.png,78.0,245.0,1993-01-01,Akron,OH,USA,Forward,F,,11,Indiana Pacers,current,2015.0,1.0,27.0,2015.0,11.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2580782,Spencer Dinwiddie,Spencer,Dinwiddie,https://a.espncdn.com/i/headshots/nba/players/full/2580782.png,77.0,215.0,1993-04-06,Woodland Hills,CA,USA,Point Guard,PG,26,30,Charlotte Hornets,last-known,2014.0,2.0,38.0,2014.0,11.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
2581018,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,https://a.espncdn.com/i/headshots/nba/players/full/2581018.png,77.0,204.0,1993-02-18,Thomaston,GA,USA,Guard,G,,20,Philadelphia 76ers,current,2013.0,1.0,8.0,2013.0,13.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2581190,Josh Richardson,Josh,Richardson,https://a.espncdn.com/i/headshots/nba/players/full/2581190.png,77.0,200.0,1993-09-15,Edmond,OK,USA,Shooting Guard,SG,0,26,Utah Jazz,last-known,2015.0,2.0,40.0,2015.0,9.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
2583632,Royce O'Neale,Royce,O'Neale,https://a.espncdn.com/i/headshots/nba/players/full/2583632.png,78.0,226.0,1993-06-05,Killeen,TX,USA,Forward,F,,30,Charlotte Hornets,current,,,,2017.0,9.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2595516,Norman Powell,Norman,Powell,https://a.espncdn.com/i/headshots/nba/players/full/2595516.png,76.0,215.0,1993-05-25,San Diego,CA,USA,Guard,G,,4,Chicago Bulls,current,2015.0,2.0,46.0,2015.0,11.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2990984,Buddy Hield,Buddy,Hield,https://a.espncdn.com/i/headshots/nba/players/full/2990984.png,76.0,220.0,1992-12-17,Freeport,GB,Bahamas,Guard,G,8,1,Atlanta Hawks,current,2016.0,1.0,6.0,2016.0,10.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2990992,Marcus Smart,Marcus,Smart,https://a.espncdn.com/i/headshots/nba/players/full/2990992.png,75.0,220.0,1994-03-06,Flower Mound,TX,USA,Guard,G,,10,Houston Rockets,current,2014.0,1.0,6.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2991043,Caris LeVert,Caris,LeVert,https://a.espncdn.com/i/headshots/nba/players/full/2991043.png,79.0,205.0,1994-08-25,Pickerington,OH,USA,Guard,G,,15,Milwaukee Bucks,current,2016.0,1.0,20.0,2016.0,10.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2991055,Montrezl Harrell,Montrezl,Harrell,https://a.espncdn.com/i/headshots/nba/players/full/2991055.png,79.0,240.0,1994-01-26,Tarboro,NC,USA,Center,C,5,20,Philadelphia 76ers,last-known,2015.0,2.0,32.0,2015.0,8.0,False,inactive,espn-core-athlete,2026-09-21T01:15:56Z
2991070,Jerami Grant,Jerami,Grant,https://a.espncdn.com/i/headshots/nba/players/full/2991070.png,79.0,213.0,1994-03-12,Portland,OR,USA,Forward,F,9,29,Memphis Grizzlies,current,2014.0,2.0,39.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2991139,Kris Dunn,Kris,Dunn,https://a.espncdn.com/i/headshots/nba/players/full/2991139.png,75.0,205.0,1994-03-18,New London,CT,USA,Guard,G,8,12,LA Clippers,current,2016.0,1.0,5.0,2016.0,10.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2991230,Fred VanVleet,Fred,VanVleet,https://a.espncdn.com/i/headshots/nba/players/full/2991230.png,72.0,197.0,1994-02-25,Rockford,IL,USA,Guard,G,5,10,Houston Rockets,current,,,,2016.0,9.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2991235,Steven Adams,Steven,Adams,https://a.espncdn.com/i/headshots/nba/players/full/2991235.png,83.0,265.0,1993-07-20,Rotorua,,New Zealand,Center,C,12,10,Houston Rockets,current,2013.0,1.0,12.0,2013.0,13.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2991350,Alex Caruso,Alex,Caruso,https://a.espncdn.com/i/headshots/nba/players/full/2991350.png,77.0,186.0,1994-02-28,College Station,TX,USA,Guard,G,9,25,Oklahoma City Thunder,current,,,,2017.0,9.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
2993874,Kyle Anderson,Kyle,Anderson,https://a.espncdn.com/i/headshots/nba/players/full/2993874.png,80.0,230.0,1993-09-20,Fairview,NJ,USA,Forward,F,,28,Toronto Raptors,current,2014.0,1.0,30.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3032976,Rudy Gobert,Rudy,Gobert,https://a.espncdn.com/i/headshots/nba/players/full/3032976.png,85.0,258.0,1992-06-26,,,France,Center,C,27,16,Minnesota Timberwolves,current,2013.0,1.0,27.0,2013.0,13.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3032977,Giannis Antetokounmpo,Giannis,Antetokounmpo,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,83.0,243.0,1994-12-06,Athens,,Greece,Forward,F,7,14,Miami Heat,current,2013.0,1.0,15.0,2013.0,13.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3032978,Dario Saric,Dario,Saric,https://a.espncdn.com/i/headshots/nba/players/full/3032978.png,82.0,225.0,1994-04-08,Sibenik,,Croatia,Forward,F,,8,Detroit Pistons,last-known,2014.0,1.0,12.0,2016.0,9.0,False,inactive,espn-core-athlete,2026-09-21T01:15:56Z
3032979,Dennis Schroder,Dennis,Schroder,https://a.espncdn.com/i/headshots/nba/players/full/3032979.png,73.0,175.0,1993-09-15,Braunschweig,,Germany,Guard,G,,30,Charlotte Hornets,current,2013.0,1.0,17.0,2013.0,14.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3037789,Bogdan Bogdanovic,Bogdan,Bogdanovic,https://a.espncdn.com/i/headshots/nba/players/full/3037789.png,77.0,225.0,1992-08-18,Belgrade,,Serbia,Guard,G,,10,Houston Rockets,current,2014.0,1.0,27.0,2017.0,9.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3056247,Kendrick Nunn,Kendrick,Nunn,https://a.espncdn.com/i/headshots/nba/players/full/3056247.png,75.0,190.0,1995-08-03,Chicago,IL,USA,Guard,G,20,27,Washington Wizards,last-known,,,,2019.0,2.0,False,inactive,espn-core-athlete,2026-09-21T01:15:56Z
3058254,Christian Wood,Christian,Wood,https://a.espncdn.com/i/headshots/nba/players/full/3058254.png,80.0,214.0,1995-09-27,Palmdale,CA,USA,Forward,F,35,13,Los Angeles Lakers,last-known,,,,2015.0,8.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3059310,Monte Morris,Monte,Morris,https://a.espncdn.com/i/headshots/nba/players/full/3059310.png,74.0,183.0,1995-06-27,Grand Rapids,MI,USA,Point Guard,PG,3,11,Indiana Pacers,last-known,2017.0,2.0,51.0,2017.0,8.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3059318,Joel Embiid,Joel,Embiid,https://a.espncdn.com/i/headshots/nba/players/full/3059318.png,84.0,280.0,1994-03-16,Yaounde,,Cameroon,Center,C,21,20,Philadelphia 76ers,current,2014.0,1.0,3.0,2016.0,10.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3059319,Andrew Wiggins,Andrew,Wiggins,https://a.espncdn.com/i/headshots/nba/players/full/3059319.png,79.0,210.0,1995-02-23,Thornhill,ON,Canada,Forward,F,22,14,Miami Heat,current,2014.0,1.0,1.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3062679,Josh Hart,Josh,Hart,https://a.espncdn.com/i/headshots/nba/players/full/3062679.png,77.0,215.0,1995-03-06,Silver Spring,MD,USA,Guard,G,3,18,New York Knicks,current,2017.0,1.0,30.0,2017.0,9.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3064230,Cameron Payne,Cameron,Payne,https://a.espncdn.com/i/headshots/nba/players/full/3064230.png,75.0,183.0,1994-08-08,Bartlett,TN,USA,Point Guard,PG,20,20,Philadelphia 76ers,last-known,2015.0,1.0,14.0,2015.0,10.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3064290,Aaron Gordon,Aaron,Gordon,https://a.espncdn.com/i/headshots/nba/players/full/3064290.png,80.0,235.0,1995-09-16,San Jose,CA,USA,Forward,F,32,7,Denver Nuggets,current,2014.0,1.0,4.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3064440,Zach LaVine,Zach,LaVine,https://a.espncdn.com/i/headshots/nba/players/full/3064440.png,77.0,200.0,1995-03-10,Seattle,WA,USA,Guard,G,8,23,Sacramento Kings,current,2014.0,1.0,13.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3064447,Delon Wright,Delon,Wright,https://a.espncdn.com/i/headshots/nba/players/full/3064447.png,77.0,185.0,1992-04-26,Los Angeles,CA,USA,Guard,G,3,11,Indiana Pacers,last-known,2015.0,1.0,20.0,2015.0,10.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3064482,Bobby Portis,Bobby,Portis,https://a.espncdn.com/i/headshots/nba/players/full/3064482.png,81.0,250.0,1995-02-10,Little Rock,AR,USA,Forward,F,95,14,Miami Heat,current,2015.0,1.0,22.0,2015.0,11.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3064514,Julius Randle,Julius,Randle,https://a.espncdn.com/i/headshots/nba/players/full/3064514.png,81.0,250.0,1994-11-29,Dallas,TX,USA,Forward,F,30,17,Brooklyn Nets,current,2014.0,1.0,7.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3074752,Terry Rozier,Terry,Rozier,https://a.espncdn.com/i/headshots/nba/players/full/3074752.png,73.0,190.0,1994-03-17,Youngstown,OH,USA,Guard,G,2,14,Miami Heat,last-known,2015.0,1.0,16.0,2015.0,10.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3078576,Derrick White,Derrick,White,https://a.espncdn.com/i/headshots/nba/players/full/3078576.png,76.0,190.0,1994-07-02,Parker,CO,USA,Guard,G,9,2,Boston Celtics,current,2017.0,1.0,29.0,2017.0,9.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
3102528,Dante Exum,Dante,Exum,https://a.espncdn.com/i/headshots/nba/players/full/3102528.png,77.0,214.0,1995-07-13,Melbourne,VIC,Australia,Guard,G,,27,Washington Wizards,last-known,2014.0,1.0,5.0,2014.0,9.0,False,free-agent,espn-core-athlete,2026-09-21T01:15:56Z
3102529,Clint Capela,Clint,Capela,https://a.espncdn.com/i/headshots/nba/players/full/3102529.png,82.0,256.0,1994-05-18,Geneva,,Switzerland,Center,C,30,10,Houston Rockets,current,2014.0,1.0,25.0,2014.0,12.0,True,active,espn-core-athlete,2026-09-21T01:15:56Z
