Year,Scoring Period,Week
2023,2,1
2023,3,1
2023,4,1
2023,5,1
2023,6,1
2023,7,1
2023,8,2
2023,9,2
2023,10,2
2023,11,2
2023,12,2
2023,13,2
2023,14,2
2023,15,3
2023,16,3
2023,17,3
2023,18,3
2023,19,3
2023,20,3
2023,21,3
2023,22,4
2023,23,4
2023,24,4
2023,25,4
2023,26,4
2023,27,4
2023,28,4
2023,29,5
2023,30,5
2023,31,5
2023,32,5
2023,33,5
2023,34,5
2023,35,5
2023,36,6
2023,37,6
2023,38,6
2023,39,6
2023,40,6
2023,41,6
2023,42,6
2023,43,7
2023,44,7
2023,45,7
2023,46,7
2023,47,7
2023,48,7
2023,49,7
2023,50,8
2023,51,8
2023,52,8
2023,53,8
2023,54,8
2023,55,8
2023,56,8
2023,57,9
2023,58,9
2023,59,9
2023,60,9
2023,61,9
2023,62,9
2023,63,9
2023,64,10
2023,65,10
2023,66,10
2023,67,10
2023,68,10
2023,69,10
2023,70,10
2023,71,11
2023,72,11
2023,73,11
2023,74,11
2023,75,11
2023,76,11
2023,77,11
2023,78,12
2023,79,12
2023,80,12
2023,81,12
2023,82,12
2023,83,12
2023,84,12
2023,85,13
2023,86,13
2023,87,13
2023,88,13
2023,89,13
2023,90,13
2023,91,13
2023,92,14
2023,93,14
2023,94,14
2023,95,14
2023,96,14
2023,97,14
2023,98,14
2023,99,15
2023,100,15
2023,101,15
2023,102,15
2023,103,15
2023,104,15
2023,105,15
2023,106,16
2023,107,16
2023,108,16
2023,109,16
2023,110,16
2023,111,16
2023,112,16
2023,113,17
2023,114,17
2023,115,17
2023,116,17
2023,117,17
2023,118,17
2023,119,17
2023,120,18
2023,121,18
2023,122,18
2023,123,18
2023,124,18
2023,125,18
2023,126,18
2023,127,18
2023,128,18
2023,129,18
2023,130,18
2023,131,18
2023,132,18
2023,133,18
2023,134,19
2023,135,19
2023,136,19
2023,137,19
2023,138,19
2023,139,19
2023,140,19
2023,141,20
2023,142,20
2023,143,20
2023,144,20
2023,145,20
2023,146,20
2023,147,20
2023,148,21
2023,149,21
2023,150,21
2023,151,21
2023,152,21
2023,153,21
2023,154,21
2023,155,22
2023,156,22
2023,157,22
2023,158,22
2023,159,22
2023,160,22
2023,161,22
2023,162,23
2023,163,23
2023,164,23
2023,165,23
2023,166,23
2023,167,23
2023,168,23
2023,170,24
2023,171,24
2023,172,24
2023,173,24
2023,174,24
2023,175,24
2024,1,1
2024,2,1
2024,3,1
2024,4,1
2024,5,1
2024,6,1
2024,7,2
2024,8,2
2024,9,2
2024,10,2
2024,11,2
2024,12,2
2024,13,2
2024,14,3
2024,15,3
2024,16,3
2024,17,3
2024,18,3
2024,19,3
2024,20,3
2024,21,4
2024,22,4
2024,23,4
2024,24,4
2024,25,4
2024,26,4
2024,27,4
2024,28,5
2024,29,5
2024,30,5
2024,31,5
2024,32,5
2024,33,5
2024,34,5
2024,35,6
2024,36,6
2024,37,6
2024,38,6
2024,39,6
2024,40,6
2024,42,7
2024,43,7
2024,44,7
2024,45,7
2024,46,7
2024,49,8
2024,50,8
2024,51,8
2024,52,8
2024,53,8
2024,54,8
2024,55,8
2024,56,9
2024,57,9
2024,58,9
2024,59,9
2024,60,9
2024,61,9
2024,63,10
